,Nut ID,Limit Type,InFoods,Nutrient,Elements,Units,95kcal,110 kcal,Early,Late Growth,Max Early,Max Late ,Max Adult,LimToDb,Units.1
0,203,n,PROCNT,Protein,,g,21.0,18.0,25.0,20.0,,,,,g
1,204,n,FAT,Fat,,g,5.5,5.5,8.5,8.5,,,,,g
2,205,n,CHOCDF,Carbs,,g,,,,,,,,,g
3,207,n,ASH,Ash,,g,3.0,3.0,3.0,3.0,9.0,9.0,9.0,,g
4,245,n,OXALAC,Oxalic Acid,,mg,0.0,0.0,0.0,0.0,10.0,10.0,10.0,,9
5,262,n,CAFFN,Caffene,,mg,0.0,0.0,0.0,0.0,10.0,10.0,10.0,,
6,208,n,ENERC_KCAL,Energy,,kcal,250.0,300.0,300.0,300.0,680.0,680.0,680.0,,kcal
7,255,n,WATER,Water,,g,,,,,,,,,g
8,291,n,FIBTG,Total Fibre,,g,2.0,2.0,2.0,2.0,,,,,g
9,511,n,ARG,Arginine,,g,0.6,0.52,0.82,0.74,,,,,g
10,512,n,HIS,Histidine,,g,0.27,0.23,0.39,0.25,,,,,g
11,503,n,ILE,lsoleucine,,g,0.53,0.46,0.65,0.5,,,,,g
12,504,n,LEU,Leucine,,g,0.95,0.82,1.29,0.8,,,,,g
13,505,n,LYS,Lysine,,g,0.46,0.42,0.88,0.7,2.8,2.8,,,g
14,506,n,MET,Methionine,,g,0.46,0.4,0.35,0.26,,,,,g
15,0,s,0,Methionine and Cystine,"506,507",g,0.88,0.76,0.7,0.53,,,,,g
16,508,n,PHE,Phenylalanine,,g,0.63,0.54,0.65,0.5,,,,,g
17,0,s,0,Phenylalanine and Tyrosine,"508,509",g,1.03,0.89,1.3,1.0,,,,,g
18,502,n,THR,Threonine,,g,0.6,0.52,0.81,0.64,,,,,g
19,501,n,TRP,Tryptophan,,g,0.2,0.17,0.23,0.21,,,,,g
20,510,n,VAL,Valine,,g,0.68,0.59,0.68,0.56,,,,,g
21,529,n,529,Taurine,,g,,,,,,,,,
22,825,n,F18D2CN6,Linoleic acid (w-6) ,,g,1.53,1.32,1.3,1.3,6.5,6.5,,,g
23,831,n,F18D3CN3,Alpha-linolenic acid (w-3),,g,,,0.08,0.08,,,,,g
24,868,n,FAPUN3,Total w3,,g,,,0.05,0.05,,,,,mg
25,869,n,FAPUN6,Total w6,,g,0.15,0.15,0.15,0.15,,,,,
26,0,rat,0,w6/w3,"869,868",,5.0,5.0,5.0,5.0,2.0,2.0,2.0,,num
27,301,n,CA,Calcium,,g,0.58,0.5,1.0,0.9,1.6,1.8,2.5,,mg
28,305,n,P,Phosphorus,,g,0.46,0.4,0.9,0.7,,,,,mg
29,0,r,0,CaP Ratio,"301,305",rat,1.0,1.0,1.0,1.0,1.6,1.8,2.0,,NUM
30,306,n,K,Potassium,,g,0.58,0.5,0.44,0.44,,,,,mg
31,307,n,NA,Sodium·,,g,0.12,0.1,0.22,0.22,,,,,mg
32,302,n,CL,Chlorine,,g,0.17,0.15,0.33,0.33,,,,,mg
33,304,n,MG,Magnesium,,g,0.08,0.07,0.04,0.04,,,,,mg
34,312,n,CU,Copper,,mg,0.83,0.72,1.1,1.1,2.8,2.8,2.8,,mg
35,314,n,I,Iodine,,mg,0.12,0.11,0.15,0.15,1.1,1.1,1.1,,mg
36,303,n,FE,Iron·,,mg,4.17,3.6,8.8,8.8,68.18,68.18,68.18,,mg
37,315,n,MN,Manganese,,mg,0.67,0.58,0.56,0.56,17.0,17.0,17.0,,mg
38,309,n,ZN,Zinc,,mg,8.34,7.2,10.0,10.0,22.7,22.7,22.7,,mg
39,317,n,SE,Selenium,,µg,27.0,23.0,40.0,40.0,56.8,56.8,56.8,,ug
40,814,n,VITA_RAE,Vitamin A ,,IU,702.0,606.0,500.0,500.0,40000.0,40000.0,40000.0,0.3,ug
41,328,n,VITD_ µG,Vitamin D Total (D2 And D3),,IU,63.9,55.2,55.2,50.0,227.0,227.0,227.0,0.025,ug
42,323,s,TOCPHA,Vitamin E,"323,341,342,343",mg,4.17,3.6,5.0,5.0,,,,,mg
43,404,n,THIA,Thiamine,,mg,0.25,0.21,0.18,0.18,,,,,mg
44,405,n,RIBF,Riboflavin,,mg,0.69,0.6,0.42,0.42,,,,,mg
45,410,n,PANTAC,Pantothenic acid,,mg,1.64,1.42,1.2,1.2,,,,,mg
46,415,n,VITB6A,Vitamin B6 (Pyridoxine),,mg,0.17,0.15,0.12,0.12,,,,,mg
47,418,n,VITB12,Vitamin B12,,µg,3.87,3.35,2.8,2.8,,,,,ug
48,406,n,NIA,Niacin,,mg,1.89,1.64,1.36,1.36,,,,,mg
49,431,n,FOLAC,Folic acid,,µg,29.9,25.8,21.6,21.6,,,,,ug
50,862,n,CHOLN,Choline,,mg,189.0,164.0,209.0,170.0,,,,,mg
51,416,n,BIOT,Biotin,,ug,10.0,10.0,10.0,10.0,,,,,ug
52,401,n,VITC,Vitamin C,,mg,10.0,10.0,10.0,10.0,50.0,50.0,50.0,,mg
53,430,n,VITK,Vitamin K,,ug,20.0,20.0,20.0,100.0,100.0,100.0,100.0,,ug
54,837,n,LUT+ZEA,Lutein,,ug,2.0,2.0,2.0,2.0,,,,,ug
