"id","description","last_updated"
"2340760","Milk, human","2022-10-03"
"2340761","Milk, NFS","2022-10-03"
"2340762","Milk, whole","2022-10-03"
"2340763","Milk, reduced fat (2%)","2022-10-03"
"2340764","Milk, low fat (1%)","2022-10-03"
"2340765","Milk, fat free (skim)","2022-10-03"
"2340766","Milk, lactose free, low fat (1%)","2022-10-03"
"2340767","Milk, lactose free, fat free (skim)","2022-10-03"
"2340768","Milk, lactose free, reduced fat (2%)","2022-10-03"
"2340769","Milk, lactose free, whole","2022-10-03"
"2340770","Buttermilk, fat free (skim)","2022-10-03"
"2340771","Buttermilk, whole","2022-10-03"
"2340772","Kefir, NS as to fat content","2022-10-03"
"2340773","Goat's milk, whole","2022-10-03"
"2340774","Milk, dry, reconstituted, NS as to fat content","2022-10-03"
"2340775","Milk, dry, reconstituted, whole","2022-10-03"
"2340776","Milk, dry, reconstituted, low fat (1%)","2022-10-03"
"2340777","Milk, dry, reconstituted, fat free (skim)","2022-10-03"
"2340778","Milk, evaporated, NS as to fat content","2022-10-03"
"2340779","Milk, evaporated, whole","2022-10-03"
"2340780","Milk, evaporated, reduced fat (2%)","2022-10-03"
"2340781","Milk, evaporated, fat free (skim)","2022-10-03"
"2340782","Milk, condensed, sweetened","2022-10-03"
"2340783","Non-dairy milk, NFS","2022-10-03"
"2340784","Soy milk","2022-10-03"
"2340785","Soy milk, light","2022-10-03"
"2340786","Soy milk, nonfat","2022-10-03"
"2340787","Soy milk, chocolate","2022-10-03"
"2340788","Soy milk, light, chocolate","2022-10-03"
"2340789","Almond milk, sweetened","2022-10-03"
"2340790","Almond milk, sweetened, chocolate","2022-10-03"
"2340791","Almond milk, unsweetened","2022-10-03"
"2340792","Almond milk, unsweetened, chocolate","2022-10-03"
"2340793","Rice milk","2022-10-03"
"2340794","Coconut milk","2022-10-03"
"2340795","Yogurt, NFS","2022-10-03"
"2340796","Yogurt, Greek, NS as to type of milk or flavor","2022-10-03"
"2340797","Yogurt, NS as to type of milk or flavor","2022-10-03"
"2340798","Yogurt, NS as to type of milk, plain","2022-10-03"
"2340799","Yogurt, whole milk, plain","2022-10-03"
"2340800","Yogurt, low fat milk, plain","2022-10-03"
"2340801","Yogurt, nonfat milk, plain","2022-10-03"
"2340802","Yogurt, Greek, NS as to type of milk, plain","2022-10-03"
"2340803","Yogurt, Greek, whole milk, plain","2022-10-03"
"2340804","Yogurt, Greek, low fat milk, plain","2022-10-03"
"2340805","Yogurt, Greek, nonfat milk, plain","2022-10-03"
"2340806","Yogurt, NS as to type of milk, fruit","2022-10-03"
"2340807","Yogurt, whole milk, fruit","2022-10-03"
"2340808","Yogurt, low fat milk, fruit","2022-10-03"
"2340809","Yogurt, nonfat milk, fruit","2022-10-03"
"2340810","Yogurt, Greek, NS as to type of milk, fruit","2022-10-03"
"2340811","Yogurt, Greek, whole milk, fruit","2022-10-03"
"2340812","Yogurt, Greek, low fat milk, fruit","2022-10-03"
"2340813","Yogurt, Greek, nonfat milk, fruit","2022-10-03"
"2340814","Yogurt, NS as to type of milk, flavors other than fruit","2022-10-03"
"2340815","Yogurt, whole milk, flavors other than fruit","2022-10-03"
